Name,Symbol,Y_start,Y_end,Elev,Lat,Lon
Redding Airport Prtble,CRPT,2000,2001,-9999,-9999.0,-9999.0
Rattle Brush,CRTB,1995,1996,4200,40.891666666666666,-122.55166666666666
Rush Creek,CRUS,1997,2022,4800,41.29444444444445,-120.86388888888888
Ruth,CRUT,2003,2022,2732,40.25055555555556,-123.31583333333332
Sacramento NWR,CSAC,2001,2022,120,39.41722222222222,-122.1825
Sawyers Bar,CSAW,1988,2022,2192,41.30027777777777,-123.1322222222222
Scorpion,CSCN,1990,2022,4400,41.111666666666665,-122.69666666666669
Soda Creek,CSDC,1992,2022,1773,39.425,-122.97722222222222
Saddleback,CSDD,2001,2022,6670,39.6375,-120.86527777777778
Secret Town,CSEC,1992,2022,2826,39.18361111111111,-120.88472222222222
Seed Orchard,CSEE,1986,1991,4100,39.083333333333336,-120.73333333333332
Sugarloaf (5-C),CSG5,2004,2004,-9999,-9999.0,-9999.0
School House,CSHH,2001,2022,2640,41.138333333333335,-123.90555555555557
Ship Mtn.,CSHI,2001,2022,5300,41.73583333333333,-123.79166666666669
Ship Mtn. 1,CSHP,-9999,-9999,-9999,-9999.0,-9999.0
Sims,CSIM,1989,2022,2400,41.075,-122.37333333333332
Slater Butte,CSLA,1988,2022,4670,41.85861111111111,-123.3525
Slate Creek,CSLC,2012,2022,4170,41.34111111111111,-123.6588888888889
Canon BAER (Shingle),CSMF,2002,2005,-9999,-9999.0,-9999.0
Smith River,CSMR,2021,2022,-9999,-9999.0,-9999.0
Soldier Mountain,CSOL,1990,2022,3710,40.92583333333333,-121.58555555555554
Somes Bar,CSOM,1988,2022,920,41.39,-123.49583333333334
Surprise Portable,CSP1,2001,2006,-9999,-9999.0,-9999.0
Surprise Portable (2),CSP2,2003,2005,-9999,-9999.0,-9999.0
Surprise Valley,CSP3,2006,2022,4549,41.62027777777778,-120.15666666666668
Sacramento NWR QD,CSQD,2004,2022,95,39.44611111111111,-122.18388888888887
Scott Rvr - Portable,CSRP,1995,1995,-9999,-9999.0,-9999.0
Santa Rosa,CSRS,1991,2022,576,38.47861111111112,-122.71194444444444
Stampede,CSTA,1991,2022,6867,39.48333333333333,-120.075
Steely Fork,CSTF,2010,2022,4006,38.62611111111112,-120.52777777777776
Stonyford,CSTO,1994,2022,1200,39.36694444444444,-122.575
Cottage,CSTS,2007,2022,6058,38.34611111111112,-120.22916666666669
Sugarloaf (SHF),CSUF,1999,2022,4200,40.91666666666666,-122.43833333333332
Summit Camp,CSUM,1989,1991,3600,38.49,-120.28833333333333
Swain Mountain,CSWA,2013,2022,6099,40.445277777777775,-121.10416666666666
Tahoe Donner,CTDN,2016,2022,-9999,-9999.0,-9999.0
Thomes Creek,CTHO,1990,2022,1040,39.864444444444445,-122.60972222222222
Timber Mountain,CTIM,2002,2022,4960,41.629444444444445,-121.29805555555556
Trench 1,CTRE,1998,2002,6800,38.16138888888889,-118.91111111111113
Trinity Camp,CTRI,1996,2022,3308,40.78638888888889,-122.80444444444444
Truckee Airport,CTRU,1987,1990,5890,39.31666666666667,-120.13333333333334
Underwood,CUND,2002,2022,2600,40.721944444444446,-123.49527777777776
Van Bremmer,CVAN,1993,2022,4928,41.64305555555556,-121.79388888888889
Walker,CWAK,2001,2022,5440,38.56527777777777,-119.45916666666668
